A Dark Truth ; Magnolia Pictures ; Damian Lee ; Action ; ComingSoon;
Table No. 21 ; Eros International ;  Aditya Datt  ; Thriller ; BoxOfficeMojo;
Texas Chainsaw 3D ; Lions Gate Entertainment ; John Luessenhop ; Horror ; ComingSoon;
The Grandmaster  ;  Block 2 Pictures  ; Wong Kar ; Action ; Berlinale;
A Haunted House  ; Open Road Films ;  Michael Tiddes  ; center ; ComingSoon;
Gangster Squad ; Warner Bros. ; Ruben Fleischer ; Action ; ComingSoon;
Matru Ki Bijlee Ka Mandola ; Fox Star Studios ; Vishal Bhardwaj ; Romantic ; BoxOfficeMojo;
Struck by Lightning  ;  Tribeca Film  ; Brian Dannelly ; Comedy ; ComingSoon;
Hansel and Gretel ; Paramount Pictures ; Tommy Wirkola ; Action ; anselandgretelmovie;
Broken City  ; 20th Century Fox ; Hughes brothers ; Crime ; ComingSoon;
 ;  Indomina Media  ;  Sheldon Candis  ; Drama ; BoxOfficeMojo;
2013 film ; Universal Studios ;  Andres Muschietti  ; Horror ; ComingSoon;
Officer Down ; Anchor Bay Films ;  Brian A Miller  ; Action ; BoxOfficerMojo;
The Last Stand  ; Lions Gate Entertainment ; Kim Ji ; Action ; ComingSoon;
John Dies at the End  ; Magnolia Pictures ; Don Coscarelli ; Comedy ; oxofficemojo;
Knife Fight ; IFC Films ; Bill Guttentag ; Political ; oxofficemojo;
Movie 43 ; Relativity Media ;  Patrik Forsberg  ; Comedy ; ComingSoon;
2013 film ;  ; Taylor Hackford ; Crime ; ComingSoon;
Race 2 ; Tips Music Films ;  ; Action ; BoxOfficeMojo;
 ;  ; Mostofa Sarwar Farooki ;  ; mdb;
Bullet to the Head ; Warner Bros. ; Walter Hill  ; Crime ; ComingSoon;
Sound City  ;  Therapy Studios  ; Dave Grohl ;  ; BoxOfficeMojo;
Stand Up Guys ; Lions Gate Entertainment ; Fisher Stevens ; Crime ; ComingSoon;
The Haunting in Connecticut 2 ; Lions Gate Entertainment ;  Tom Elkins  ; Horror ; ComingSoon;
Warm Bodies  ; Summit Entertainment ; Jonathan Levine ; Comedy ; ComingSoon;
A Glimpse Inside the Mind of Charles Swan III ; A24 Films ; Roman Coppola ; Comedy ; ComingSoon;
I Give It a Year ; Working Title Films ; Dan Mazer ; Comedy ; www;
Identity Thief ; Universal Studios ; Seth Gordon ;  ; ComingSoon;
Side Effects  ; Open Road Films ; Steven Soderbergh ; Crime ; ComingSoon;
Special 26 ; Viacom 18 Motion Pictures ; Neeraj Pandey ; Crime ; /www;
Top Gun ; Paramount Pictures ; Tony Scott ; Action ; ComingSoon;
Journey to the West ; Huayi Brothers ; Stephen Chow ; Action ; HollywoodReporter;
A Good Day to Die Hard ; 20th Century Fox ; John Moore  ; Action ; ComingSoon;
Beautiful Creatures  ; Warner Bros. ; Richard LaGravenese ; Fantasy ; ComingSoon;
Murder 3 ; Fox Star Studios ;  Vishesh Bhatt  ; Thriller ; oxofficemojo;
Safe Haven  ; Relativity Media ; Lasse Hallstr ; Drama ; ComingSoon;
Escape from Planet Earth ; The Weinstein Company ;  Cal Brunker  ; Comedy ; ComingSoon;
Bless Me ;  Arenas Entertainment  ; Carl Franklin ; Drama ; BoxOfficeMojo;
Dark Skies  ; Dimension Films ; Scott Charles Stewart ; Horror ; ComingSoon;
Kai Po Che ; UTV Motion Pictures ; Abhishek Kapoor ; Drama ; oxofficemojo;
 ; Summit Entertainment ;  Ric Roman Waugh  ; Action ; ComingSoon;
To the Wonder ; Magnolia Pictures ; Terrence Malick ; center ; Odeon;
 ; Relativity Media ; Jon Lucas ;  ; ComingSoon;
 Me Aur Main ; Reliance Entertainment ;  Kapil Sharma  ; Drama ; ollywoodhungama;
Jack the Giant Slayer ; Warner Bros. ; Bryan Singer ; Action ; ComingSoon;
2013 film ;  RCR Media Group  ; Todd Robinson  ; Crime ; ComingSoon;
 ; Fox Searchlight Pictures ; Park Chan ; Thriller ; ComingSoon;
The Attacks of 26 ; Eros International ; Ram Gopal Varma ; center ; kha;
The Last Exorcism Part II ; CBS Films ; Ed Gass ; Horror ; ComingSoon;
Dead Man Down ;  ; Niels Arden Oplev ; Action ; ComingSoon;
