"Distribution_House","director","column8","column4","column3","column1","column7","column2"
"","","","","","","",""
"Magnolia Pictures","Damian Lee","Action ","","","","ComingSoon.net","A Dark Truth"
"Eros International","Aditya Datt","Thriller film|Thriller ","","","","BoxOfficeMojo.com","Table No. 21"
"Lions Gate Entertainment|Lionsgate","John Luessenhop","Horror ","","","","ComingSoon.net","Texas Chainsaw 3D"
"Block 2 Pictures / Jet Tone Films","Wong Kar-wai","Drama ","","","","Berlinale.de","The Grandmaster (film)|The Grandmaster"
"Open Road Films","Michael Tiddes","Horror ","","","","ComingSoon.net","A Haunted House (film)|A Haunted House"
"Warner Bros.","Ruben Fleischer","Action, Crime ","","","","ComingSoon.net","Gangster Squad"
"Fox Star Studios","Vishal Bhardwaj","Romantic comedy film|Romantic Comedy ","","","","BoxOfficeMojo.com","Matru Ki Bijlee Ka Mandola"
"Tribeca Film","Brian Dannelly","Comedy, Drama ","","","","ComingSoon.net","Struck by Lightning (2012 film)|Struck by Lightning"
"Paramount Pictures / Metro-Goldwyn-Mayer|MGM","Tommy Wirkola","Action, Fantasy ","","","","hanselandgretelmovie.com","Hansel and Gretel: Witch Hunters"
"20th Century Fox","Hughes brothers|Allen Hughes","Crime ","","","","ComingSoon.net","Broken City (film)|Broken City"
"Indomina Media","Sheldon Candis","Drama ","","","","BoxOfficeMojo.com","LUV (film)|LUV"
"Universal Studios|Universal Pictures","Andres Muschietti","Thriller ","","","","ComingSoon.net","Mama (2013 film)|Mama"
"Anchor Bay Films","Brian A Miller","Action ","","","","BoxOfficerMojo.com","Officer Down"
"Lions Gate Entertainment|Lionsgate","Kim Ji-woon","Action ","","","","ComingSoon.net","The Last Stand (2013 film)|The Last Stand"
"Magnolia Pictures","Don Coscarelli","Comedy, Horror ","","","","boxofficemojo.com","John Dies at the End (film)|John Dies at the End"
"IFC Films","Bill Guttentag","Political Thriller ","","","","boxofficemojo.com","Knife Fight"
"Relativity Media","Patrik Forsberg","Comedy ","","","","ComingSoon.net","Movie 43"
"FilmDistrict","Taylor Hackford","Action ","","","","ComingSoon.net","Parker (2013 film)|Parker"
"Tips Music Films","Abbas-Mustan","Action ","","","","BoxOfficeMojo.com","Race 2"
"Chabial","Mostofa Sarwar Farooki","Drama ","","","","imdb.com","Television (film)|Television"
"Warner Bros.","Walter Hill","Action ","","","","ComingSoon.net","Bullet to the Head"
"Therapy Studios","Dave Grohl","","","","","BoxOfficeMojo.com","Sound City (film)|Sound City"
"Lions Gate Entertainment|Lionsgate","Fisher Stevens","Crime, Comedy ","","","","ComingSoon.net","Stand Up Guys"
